2025-06-10 15:46:47 configure mariadb-server-core:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:47 status unpacked mariadb-server-core:amd64 1:11.8.1-4
2025-06-10 15:46:47 status half-configured mariadb-server-core:amd64 1:11.8.1-4
2025-06-10 15:46:47 status installed mariadb-server-core:amd64 1:11.8.1-4
2025-06-10 15:46:47 configure libpython3.13-stdlib:amd64 3.13.3-2 <none>
2025-06-10 15:46:47 status unpacked libpython3.13-stdlib:amd64 3.13.3-2
2025-06-10 15:46:47 status half-configured libpython3.13-stdlib:amd64 3.13.3-2
2025-06-10 15:46:47 status installed libpython3.13-stdlib:amd64 3.13.3-2
2025-06-10 15:46:47 configure libpython3-stdlib:amd64 3.13.3-1 <none>
2025-06-10 15:46:47 status unpacked libpython3-stdlib:amd64 3.13.3-1
2025-06-10 15:46:47 status half-configured libpython3-stdlib:amd64 3.13.3-1
2025-06-10 15:46:47 status installed libpython3-stdlib:amd64 3.13.3-1
2025-06-10 15:46:47 configure libpython3.13:amd64 3.13.3-2 <none>
2025-06-10 15:46:47 status unpacked libpython3.13:amd64 3.13.3-2
2025-06-10 15:46:47 status half-configured libpython3.13:amd64 3.13.3-2
2025-06-10 15:46:47 status installed libpython3.13:amd64 3.13.3-2
2025-06-10 15:46:47 configure libmariadb-dev-compat:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:47 status unpacked libmariadb-dev-compat:amd64 1:11.8.1-4
2025-06-10 15:46:47 status half-configured libmariadb-dev-compat:amd64 1:11.8.1-4
2025-06-10 15:46:47 status installed libmariadb-dev-compat:amd64 1:11.8.1-4
2025-06-10 15:46:47 configure python3.13:amd64 3.13.3-2 <none>
2025-06-10 15:46:47 status unpacked python3.13:amd64 3.13.3-2
2025-06-10 15:46:47 status half-configured python3.13:amd64 3.13.3-2
2025-06-10 15:46:48 status installed python3.13:amd64 3.13.3-2
2025-06-10 15:46:48 configure python3:amd64 3.13.3-1 <none>
2025-06-10 15:46:48 status unpacked python3:amd64 3.13.3-1
2025-06-10 15:46:48 status half-configured python3:amd64 3.13.3-1
2025-06-10 15:46:51 status installed python3:amd64 3.13.3-1
2025-06-10 15:46:51 configure python3.13-venv:amd64 3.13.3-2 <none>
2025-06-10 15:46:51 status unpacked python3.13-venv:amd64 3.13.3-2
2025-06-10 15:46:51 status half-configured python3.13-venv:amd64 3.13.3-2
2025-06-10 15:46:51 status installed python3.13-venv:amd64 3.13.3-2
2025-06-10 15:46:51 configure mariadb-client-core:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:51 status unpacked mariadb-client-core:amd64 1:11.8.1-4
2025-06-10 15:46:51 status half-configured mariadb-client-core:amd64 1:11.8.1-4
2025-06-10 15:46:51 status installed mariadb-client-core:amd64 1:11.8.1-4
2025-06-10 15:46:51 configure python3-venv:amd64 3.13.3-1 <none>
2025-06-10 15:46:51 status unpacked python3-venv:amd64 3.13.3-1
2025-06-10 15:46:52 status half-configured python3-venv:amd64 3.13.3-1
2025-06-10 15:46:52 status installed python3-venv:amd64 3.13.3-1
2025-06-10 15:46:52 configure libpython3.13-dev:amd64 3.13.3-2 <none>
2025-06-10 15:46:52 status unpacked libpython3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:52 status half-configured libpython3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:52 status installed libpython3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:52 configure default-libmysqlclient-dev:amd64 1.1.1 <none>
2025-06-10 15:46:52 status unpacked default-libmysqlclient-dev:amd64 1.1.1
2025-06-10 15:46:52 status half-configured default-libmysqlclient-dev:amd64 1.1.1
2025-06-10 15:46:52 status installed default-libmysqlclient-dev:amd64 1.1.1
2025-06-10 15:46:52 configure libpython3-dev:amd64 3.13.3-1 <none>
2025-06-10 15:46:52 status unpacked libpython3-dev:amd64 3.13.3-1
2025-06-10 15:46:52 status half-configured libpython3-dev:amd64 3.13.3-1
2025-06-10 15:46:52 status installed libpython3-dev:amd64 3.13.3-1
2025-06-10 15:46:52 configure mariadb-client:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:52 status unpacked mariadb-client:amd64 1:11.8.1-4
2025-06-10 15:46:52 status half-configured mariadb-client:amd64 1:11.8.1-4
2025-06-10 15:46:52 status installed mariadb-client:amd64 1:11.8.1-4
2025-06-10 15:46:52 configure python3.13-dev:amd64 3.13.3-2 <none>
2025-06-10 15:46:52 status unpacked python3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:52 status half-configured python3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:52 status installed python3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:52 configure mariadb-server:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:52 status unpacked mariadb-server:amd64 1:11.8.1-4
2025-06-10 15:46:52 status half-configured mariadb-server:amd64 1:11.8.1-4
2025-06-10 15:46:53 status installed mariadb-server:amd64 1:11.8.1-4
2025-06-10 15:46:53 configure mariadb-plugin-provider-bzip2:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:53 status unpacked mariadb-plugin-provider-bzip2:amd64 1:11.8.1-4
2025-06-10 15:46:53 status half-configured mariadb-plugin-provider-bzip2:amd64 1:11.8.1-4
2025-06-10 15:46:53 status installed mariadb-plugin-provider-bzip2:amd64 1:11.8.1-4
2025-06-10 15:46:53 configure mariadb-plugin-provider-lzma:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:53 status unpacked mariadb-plugin-provider-lzma:amd64 1:11.8.1-4
2025-06-10 15:46:53 status half-configured mariadb-plugin-provider-lzma:amd64 1:11.8.1-4
2025-06-10 15:46:53 status installed mariadb-plugin-provider-lzma:amd64 1:11.8.1-4
2025-06-10 15:46:53 configure python3-dev:amd64 3.13.3-1 <none>
2025-06-10 15:46:53 status unpacked python3-dev:amd64 3.13.3-1
2025-06-10 15:46:53 status half-configured python3-dev:amd64 3.13.3-1
2025-06-10 15:46:53 status installed python3-dev:amd64 3.13.3-1
2025-06-10 15:46:53 configure mariadb-plugin-provider-lzo:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:53 status unpacked mariadb-plugin-provider-lzo:amd64 1:11.8.1-4
2025-06-10 15:46:53 status half-configured mariadb-plugin-provider-lzo:amd64 1:11.8.1-4
2025-06-10 15:46:53 status installed mariadb-plugin-provider-lzo:amd64 1:11.8.1-4
2025-06-10 15:46:53 configure mariadb-plugin-provider-lz4:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:53 status unpacked mariadb-plugin-provider-lz4:amd64 1:11.8.1-4
2025-06-10 15:46:53 status half-configured mariadb-plugin-provider-lz4:amd64 1:11.8.1-4
2025-06-10 15:46:53 status installed mariadb-plugin-provider-lz4:amd64 1:11.8.1-4
2025-06-10 15:46:53 configure mariadb-plugin-provider-snappy:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:53 status unpacked mariadb-plugin-provider-snappy:amd64 1:11.8.1-4
2025-06-10 15:46:53 status half-configured mariadb-plugin-provider-snappy:amd64 1:11.8.1-4
2025-06-10 15:46:53 status installed mariadb-plugin-provider-snappy:amd64 1:11.8.1-4
2025-06-10 15:46:53 trigproc systemd:amd64 257.2-3 <none>
2025-06-10 15:46:53 status half-configured systemd:amd64 257.2-3
2025-06-10 15:46:54 status installed systemd:amd64 257.2-3
2025-06-10 15:46:54 trigproc man-db:amd64 2.13.0-1 <none>
2025-06-10 15:46:54 status half-configured man-db:amd64 2.13.0-1
2025-06-10 15:46:58 status installed man-db:amd64 2.13.0-1
2025-06-10 15:46:58 trigproc kali-menu:all 2025.1.1 <none>
2025-06-10 15:46:58 status half-configured kali-menu:all 2025.1.1
2025-06-10 15:46:58 status installed kali-menu:all 2025.1.1
2025-06-10 15:46:58 trigproc desktop-file-utils:amd64 0.28-1 <none>
2025-06-10 15:46:58 status half-configured desktop-file-utils:amd64 0.28-1
2025-06-10 15:46:58 status installed desktop-file-utils:amd64 0.28-1
2025-06-10 15:46:58 trigproc libc-bin:amd64 2.40-3 <none>
2025-06-10 15:46:58 status half-configured libc-bin:amd64 2.40-3
2025-06-10 15:46:58 status installed libc-bin:amd64 2.40-3
2025-06-21 18:58:34 startup archives unpack
2025-06-21 18:58:35 install ncat:amd64 <none> 7.95+dfsg-3kali1
2025-06-21 18:58:35 status half-installed ncat:amd64 7.95+dfsg-3kali1
2025-06-21 18:58:35 status triggers-pending kali-menu:all 2025.1.1
2025-06-21 18:58:35 status triggers-pending man-db:amd64 2.13.0-1
2025-06-21 18:58:35 status unpacked ncat:amd64 7.95+dfsg-3kali1
2025-06-21 18:58:35 startup packages configure
2025-06-21 18:58:35 configure ncat:amd64 7.95+dfsg-3kali1 <none>
2025-06-21 18:58:35 status unpacked ncat:amd64 7.95+dfsg-3kali1
2025-06-21 18:58:35 status half-configured ncat:amd64 7.95+dfsg-3kali1
2025-06-21 18:58:35 status installed ncat:amd64 7.95+dfsg-3kali1
2025-06-21 18:58:35 trigproc man-db:amd64 2.13.0-1 <none>
2025-06-21 18:58:35 status half-configured man-db:amd64 2.13.0-1
2025-06-21 18:58:37 status installed man-db:amd64 2.13.0-1
2025-06-21 18:58:37 trigproc kali-menu:all 2025.1.1 <none>
2025-06-21 18:58:37 status half-configured kali-menu:all 2025.1.1
2025-06-21 18:58:38 status installed kali-menu:all 2025.1.1
2025-06-26 17:09:56 startup archives unpack
2025-06-26 17:09:57 install foremost:amd64 <none> 1.5.7-11+b2
2025-06-26 17:09:57 status half-installed foremost:amd64 1.5.7-11+b2
2025-06-26 17:09:57 status triggers-pending kali-menu:all 2025.1.1
2025-06-26 17:09:57 status triggers-pending man-db:amd64 2.13.0-1
2025-06-26 17:09:57 status unpacked foremost:amd64 1.5.7-11+b2
2025-06-26 17:09:57 startup packages configure
2025-06-26 17:09:57 configure foremost:amd64 1.5.7-11+b2 <none>
2025-06-26 17:09:57 status unpacked foremost:amd64 1.5.7-11+b2
2025-06-26 17:09:57 status half-configured foremost:amd64 1.5.7-11+b2
2025-06-26 17:09:57 status installed foremost:amd64 1.5.7-11+b2
2025-06-26 17:09:57 trigproc man-db:amd64 2.13.0-1 <none>
2025-06-26 17:09:57 status half-configured man-db:amd64 2.13.0-1
2025-06-26 17:09:57 status installed man-db:amd64 2.13.0-1
2025-06-26 17:09:57 trigproc kali-menu:all 2025.1.1 <none>
2025-06-26 17:09:57 status half-configured kali-menu:all 2025.1.1
2025-06-26 17:09:58 status installed kali-menu:all 2025.1.1
2025-06-26 17:10:10 startup archives unpack
2025-06-26 17:10:11 install scalpel:amd64 <none> 1.60+git20240110.6960eb2-1
2025-06-26 17:10:11 status half-installed scalpel:amd64 1.60+git20240110.6960eb2-1
2025-06-26 17:10:11 status triggers-pending kali-menu:all 2025.1.1
2025-06-26 17:10:11 status triggers-pending man-db:amd64 2.13.0-1
2025-06-26 17:10:11 status unpacked scalpel:amd64 1.60+git20240110.6960eb2-1
2025-06-26 17:10:11 startup packages configure
2025-06-26 17:10:11 configure scalpel:amd64 1.60+git20240110.6960eb2-1 <none>
2025-06-26 17:10:11 status unpacked scalpel:amd64 1.60+git20240110.6960eb2-1
2025-06-26 17:10:11 status half-configured scalpel:amd64 1.60+git20240110.6960eb2-1
2025-06-26 17:10:11 status installed scalpel:amd64 1.60+git20240110.6960eb2-1
2025-06-26 17:10:11 trigproc man-db:amd64 2.13.0-1 <none>
2025-06-26 17:10:11 status half-configured man-db:amd64 2.13.0-1
2025-06-26 17:10:13 status installed man-db:amd64 2.13.0-1
2025-06-26 17:10:13 trigproc kali-menu:all 2025.1.1 <none>
2025-06-26 17:10:13 status half-configured kali-menu:all 2025.1.1
2025-06-26 17:10:13 status installed kali-menu:all 2025.1.1
